Distribución;local;dia;bloque_30min;porcentaje_ventas
glovo&local;LLURIA;DOMINGO;21:00:00;0.008789902
glovo&local;LLURIA;DOMINGO;21:30:00;0.008713537
glovo&local;LLURIA;DOMINGO;22:00:00;0.009706594
glovo&local;LLURIA;DOMINGO;22:30:00;0.009129376
glovo&local;LLURIA;DOMINGO;23:00:00;0.008024156
glovo&local;LLURIA;DOMINGO;23:30:00;0.004451817
glovo&local;ICARIA;LUNES;0:00:00;0
glovo&local;ICARIA;LUNES;0:30:00;0
glovo&local;ICARIA;LUNES;1:00:00;0
glovo&local;ICARIA;LUNES;1:30:00;0
glovo&local;ICARIA;LUNES;2:00:00;0
glovo&local;ICARIA;LUNES;2:30:00;0
glovo&local;ICARIA;LUNES;3:00:00;0
glovo&local;ICARIA;LUNES;3:30:00;0
glovo&local;ICARIA;LUNES;4:00:00;0
glovo&local;ICARIA;LUNES;4:30:00;0
glovo&local;ICARIA;LUNES;5:00:00;0
glovo&local;ICARIA;LUNES;5:30:00;0
glovo&local;ICARIA;LUNES;6:00:00;0
glovo&local;ICARIA;LUNES;6:30:00;0
glovo&local;ICARIA;LUNES;7:00:00;0
glovo&local;ICARIA;LUNES;7:30:00;0
glovo&local;ICARIA;LUNES;8:00:00;0
glovo&local;ICARIA;LUNES;8:30:00;0
glovo&local;ICARIA;LUNES;9:00:00;0
glovo&local;ICARIA;LUNES;9:30:00;0
glovo&local;ICARIA;LUNES;10:00:00;0
glovo&local;ICARIA;LUNES;10:30:00;0
glovo&local;ICARIA;LUNES;11:00:00;0
glovo&local;ICARIA;LUNES;11:30:00;0
glovo&local;ICARIA;LUNES;12:00:00;0
glovo&local;ICARIA;LUNES;12:30:00;0.003320336
glovo&local;ICARIA;LUNES;13:00:00;0.004338513
glovo&local;ICARIA;LUNES;13:30:00;0.005972168
glovo&local;ICARIA;LUNES;14:00:00;0.009318397
glovo&local;ICARIA;LUNES;14:30:00;0.01069837
glovo&local;ICARIA;LUNES;15:00:00;0.008598265
glovo&local;ICARIA;LUNES;15:30:00;0.007438694
glovo&local;ICARIA;LUNES;16:00:00;0.006123617
glovo&local;ICARIA;LUNES;16:30:00;0.005179812
glovo&local;ICARIA;LUNES;17:00:00;0.003985348
glovo&local;ICARIA;LUNES;17:30:00;0.00347279
glovo&local;ICARIA;LUNES;18:00:00;0.003278592
glovo&local;ICARIA;LUNES;18:30:00;0.003020236
glovo&local;ICARIA;LUNES;19:00:00;0.003936977
glovo&local;ICARIA;LUNES;19:30:00;0.004203258
